Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A3Q3A7P6	57	Small ribosomal subunit protein uS8 OS=Gallus gallus OX=9031 GN=RPS15A PE=1 SV=1	RPS15A	Up	1.6700832377468455
Q6ITC7	57	Small ribosomal subunit protein uS15 OS=Gallus gallus OX=9031 GN=RPS13 PE=2 SV=3	RPS13	Up	1.5829350517240657
F1NN16	57	40S ribosomal protein S7 OS=Gallus gallus OX=9031 GN=RPS7 PE=1 SV=3	RPS7	Up	2.650222212968168
F1NIX0	54	Large ribosomal subunit protein uL2 OS=Gallus gallus OX=9031 GN=RPL8 PE=1 SV=2	RPL8	Up	2.9966092434913256
A0A8V0ZUX8	54	40S ribosomal protein S26 OS=Gallus gallus OX=9031 GN=RPS26 PE=1 SV=1	RPS26	Up	3.707755708688016
A0A8V0ZE87	53	60S ribosomal protein L6 OS=Gallus gallus OX=9031 GN=RPL6 PE=1 SV=1	RPL6	Up	1.5346213154617163
P41125	52	Large ribosomal subunit protein eL13 OS=Gallus gallus OX=9031 GN=RPL13 PE=2 SV=2	RPL13	Up	2.80560615562258
A0A8V0ZGP2	51	Large ribosomal subunit protein uL14 OS=Gallus gallus OX=9031 GN=RPL23 PE=1 SV=1	RPL23	Up	2.6847737371905316
A0A1D5P3B1	50	Large ribosomal subunit protein uL5 OS=Gallus gallus OX=9031 GN=RPL11 PE=1 SV=1	RPL11	Up	3.6549863438399637
Q5ZMS3	50	Eukaryotic translation initiation factor 2 subunit 3 OS=Gallus gallus OX=9031 GN=EIF2S3 PE=1 SV=1	EIF2S3	Up	2.485029024385581
A0A8V0ZC55	50	Eukaryotic translation initiation factor 3 subunit B OS=Gallus gallus OX=9031 GN=EIF3B PE=1 SV=1	EIF3B	Up	2.010765130462
A0A8V0ZL98	50	Large ribosomal subunit protein uL15 OS=Gallus gallus OX=9031 GN=RPL27A PE=1 SV=1	RPL27A	Up	3.78180383458807
A0A8V1A9M2	50	Ribosomal protein OS=Gallus gallus OX=9031 GN=RPL10A PE=1 SV=1	RPL10A	Up	4.471888702009546
E1C4N0	50	Ribosomal protein S10 OS=Gallus gallus OX=9031 GN=RPS10 PE=1 SV=2	RPS10	Up	9.93603280188646
E1BTG1	50	Large ribosomal subunit protein uL11 OS=Gallus gallus OX=9031 GN=RPL12 PE=1 SV=2	RPL12	Up	3.06315592975598
A0A8V0XPN5	49	Small ribosomal subunit protein uS12 OS=Gallus gallus OX=9031 GN=RPS23 PE=1 SV=1	RPS23	Down	0.2350655401900709
A0A8V0ZIN3	49	Actin, beta OS=Gallus gallus OX=9031 GN=ACTB PE=3 SV=1	ACTB	Up	2.1698233834292844
A0A8V0Y4V6	48	Large ribosomal subunit protein uL24 OS=Gallus gallus OX=9031 GN=RPL26L1 PE=1 SV=1	RPL26L1	Up	3.2043598940918936
A0A8V0XJK4	48	Large ribosomal subunit protein uL30 OS=Gallus gallus OX=9031 GN=RPL7 PE=3 SV=1	RPL7	Up	1.8092572899759332
A0A8V0ZBR5	48	Eukaryotic translation initiation factor 3 subunit F OS=Gallus gallus OX=9031 GN=EIF3F PE=1 SV=1	EIF3F	Up	2.17322752209054
A0A1D5P7C6	47	Proliferation-associated 2G4 OS=Gallus gallus OX=9031 GN=PA2G4 PE=1 SV=1	PA2G4	Up	2.125377632291922
A0A8V0XBW1	47	Elongation factor 1-alpha OS=Gallus gallus OX=9031 GN=EEF1A1 PE=1 SV=1	EEF1A1	Up	2.279633820076804
A0A8V1A624	46	ATP synthase subunit beta OS=Gallus gallus OX=9031 GN=ATP5B PE=1 SV=1	ATP5B	Up	6.163659552455785
Q5F411	46	T-complex protein 1 subunit epsilon OS=Gallus gallus OX=9031 GN=CCT5 PE=1 SV=1	CCT5	Up	3.603992707928633
A0A1D5NYE8	45	Catenin beta-1 OS=Gallus gallus OX=9031 GN=CTNNB1 PE=1 SV=1	CTNNB1	Up	3.6864101943432086
P84172	45	Elongation factor Tu, mitochondrial (Fragment) OS=Gallus gallus OX=9031 GN=TUFM PE=1 SV=1	TUFM	Up	9.152425933877199
A0A8V0YR80	45	Large ribosomal subunit protein eL14 OS=Gallus gallus OX=9031 GN=RPL14 PE=1 SV=1	RPL14	Up	2.4452053153120765
A0A8V0XRE7	44	Large ribosomal subunit protein eL24 OS=Gallus gallus OX=9031 GN=RPL24 PE=1 SV=1	RPL24	Up	3.37361248042684
Q9I8D6	44	T-complex protein 1 subunit delta OS=Gallus gallus OX=9031 GN=tcp-1 delta PE=1 SV=1	tcp-1	Up	2.087340610938836
A0A1D5PMT8	43	Large ribosomal subunit protein P2 OS=Gallus gallus OX=9031 GN=RPLP2 PE=1 SV=1	RPLP2	Up	3.2062649861236365
A0A1D5PJW4	43	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA7 PE=1 SV=1	PSMA7	Up	2.2330510992275694
A0A1D5P0U8	42	ATP synthase subunit gamma OS=Gallus gallus OX=9031 GN=ATP5C1 PE=1 SV=1	ATP5C1	Up	4.250196164547911
A0A1L1RX26	42	Eukaryotic peptide chain release factor subunit 1 OS=Gallus gallus OX=9031 GN=ETF1 PE=1 SV=1	ETF1	Up	3.8234990231439734
A0A8V0YYI8	41	T-complex protein 1 subunit eta OS=Gallus gallus OX=9031 GN=CCT7 PE=3 SV=1	CCT7	Up	2.7239801576805456
Q5ZLI2	41	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA3 PE=1 SV=1	PSMA3	Up	2.2134587063090816
A0A8V0YCP2	40	T-complex protein 1 subunit beta OS=Gallus gallus OX=9031 GN=CCT2 PE=1 SV=1	CCT2	Up	3.453963796890989
A0A8V0X9X8	40	Tumor protein, translationally-controlled 1 OS=Gallus gallus OX=9031 GN=TPT1 PE=1 SV=1	TPT1	Up	5.767574410966147
E1BVT3	39	Malate dehydrogenase OS=Gallus gallus OX=9031 GN=MDH2 PE=1 SV=3	MDH2	Up	2.706047210200748
A0A1L1S0X5	39	Large ribosomal subunit protein eL34 OS=Gallus gallus OX=9031 GN=RPL34 PE=1 SV=2	RPL34	Up	1.9047001164092563
A0A8V1A582	39	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA5 PE=1 SV=1	PSMA5	Up	4.073398199125892
A0A8V0YSB5	38	26S proteasome non-ATPase regulatory subunit 1 OS=Gallus gallus OX=9031 GN=PSMD1 PE=1 SV=1	PSMD1	Up	1.718078936071099
P00356	38	Glyceraldehyde-3-phosphate dehydrogenase OS=Gallus gallus OX=9031 GN=GAPDH PE=2 SV=3	GAPDH	Up	2.606465016373816
A0A8V0Y2X7	38	26S proteasome regulatory subunit 7 OS=Gallus gallus OX=9031 GN=PSMC2 PE=1 SV=1	PSMC2	Up	2.1040336083520845
E1C658	38	ATP synthase subunit d, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5H PE=1 SV=3	ATP5H	Up	6.365238929658371
A0A8V0ZNG4	38	Proteasome subunit alpha 1 OS=Gallus gallus OX=9031 GN=PSMA1 PE=3 SV=1	PSMA1	Up	5.065669284716415
A0A8V1A3B4	37	Ubiquinol-cytochrome c reductase core protein 1 OS=Gallus gallus OX=9031 GN=UQCRC1 PE=1 SV=1	UQCRC1	Up	5.41580745890532
A0A1D5PYQ3	37	Eukaryotic peptide chain release factor GTP-binding subunit OS=Gallus gallus OX=9031 GN=GSPT2 PE=1 SV=1	GSPT2	Up	2.2065794554623746
A0A8V0XUD0	37	Elongation factor 1-delta OS=Gallus gallus OX=9031 GN=EEF1D PE=1 SV=1	EEF1D	Up	9.395509688151508
A0A8V0ZNG1	37	Proteasome 26S subunit, non-ATPase 14 OS=Gallus gallus OX=9031 GN=PSMD14 PE=1 SV=1	PSMD14	Up	3.7124204933690272
A0A8V1A3Y5	37	Eukaryotic translation initiation factor 2 subunit 2 OS=Gallus gallus OX=9031 GN=EIF2S2 PE=1 SV=1	EIF2S2	Up	1.9688045849434428
A0A8V0YZL1	37	Ubiquinol-cytochrome c reductase core protein 2 OS=Gallus gallus OX=9031 GN=UQCRC2 PE=1 SV=1	UQCRC2	Up	2.3798339243016446
A0A8V1AA37	36	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS1 PE=1 SV=1	NDUFS1	Up	4.0909427777381895
A0A8V0Y814	36	T-complex protein 1 subunit theta OS=Gallus gallus OX=9031 GN=CCT8 PE=1 SV=1	CCT8	Up	3.7598063667694537
A0A1D5NXL7	36	Proteasome 26S subunit, non-ATPase 3 OS=Gallus gallus OX=9031 GN=PSMD3 PE=1 SV=1	PSMD3	Up	1.5439133535727134
A0A8V0XRD5	35	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA6 PE=1 SV=1	PSMA6	Up	2.7123051095242308
A0A8V0YQY8	35	26S proteasome non-ATPase regulatory subunit 2 OS=Gallus gallus OX=9031 GN=PSMD2 PE=1 SV=1	PSMD2	Up	2.2355834951371776
A0A8V0Z3K2	35	Proteasome 26S subunit, ATPase 1 OS=Gallus gallus OX=9031 GN=PSMC1 PE=1 SV=1	PSMC1	Up	2.7885769501971738
F1NC02	35	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA4 PE=1 SV=2	PSMA4	Up	2.6675701221229744
A0A8V0ZRZ8	35	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFA9 PE=1 SV=1	NDUFA9	Up	2.3741830097751384
A0A8V0Z865	35	Large ribosomal subunit protein uL2 OS=Gallus gallus OX=9031 GN=MRPL2 PE=1 SV=1	MRPL2	Down	0.5840296261299697
A0A8V1A4N7	35	ATP synthase subunit b OS=Gallus gallus OX=9031 GN=ATP5PB PE=1 SV=1	ATP5PB	Up	8.542604742913504
A0A8V0XMT9	34	Integrin beta OS=Gallus gallus OX=9031 GN=ITGB1 PE=1 SV=1	ITGB1	Up	1.9024960998439941
F1NU79	34	26S proteasome regulatory subunit 8 OS=Gallus gallus OX=9031 GN=PSMC5 PE=1 SV=2	PSMC5	Up	3.316403411995802
A0A8V0X4M9	34	Eukaryotic translation initiation factor 3 subunit A OS=Gallus gallus OX=9031 GN=EIF3A PE=1 SV=1	EIF3A	Up	2.6960739979445023
A0A8V0YUW3	34	Eukaryotic initiation factor 4A-II OS=Gallus gallus OX=9031 GN=EIF4A2 PE=3 SV=1	EIF4A2	Up	2.971899465496463
Q5ZHZ0	34	Spliceosome RNA helicase DDX39B OS=Gallus gallus OX=9031 GN=DDX39B PE=2 SV=1	DDX39B	Up	3.8973650837137166
A0A8V0ZNX9	34	Proteasome subunit beta type-3 OS=Gallus gallus OX=9031 GN=PSMB3 PE=1 SV=1	PSMB3	Up	3.2717539878663824
A0A8V1ABH8	34	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=PSMB4 PE=1 SV=1	PSMB4	Up	2.780108389462711
A0A8V0ZH96	34	Proteasome 26S subunit, ATPase 3 OS=Gallus gallus OX=9031 GN=PSMC3 PE=1 SV=1	PSMC3	Up	2.016021615114879
A0A1D5NW93	34	ATP synthase F1 subunit delta OS=Gallus gallus OX=9031 GN=ATP5D PE=1 SV=2	ATP5D	Up	11.782934651276387
A0A8V0ZU95	33	Cytochrome c oxidase subunit 5A, mitochondrial OS=Gallus gallus OX=9031 GN=COX5A PE=1 SV=1	COX5A	Up	3.8875103759642053
A0A1D5NTD3	33	Adhesion regulating molecule 1 OS=Gallus gallus OX=9031 GN=ADRM1 PE=1 SV=1	ADRM1	Up	1.8695191737459464
A0A8V0ZY42	33	26S proteasome non-ATPase regulatory subunit 11 OS=Gallus gallus OX=9031 GN=PSMD11 PE=1 SV=1	PSMD11	Down	0.3853993351416941
R4GLB3	33	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=PSMB2 PE=1 SV=1	PSMB2	Up	1.9539548459938
A0A8V0Y9X9	32	ATP synthase subunit O, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5O PE=1 SV=1	ATP5O	Up	6.157806110175607
A0A8V0XW68	32	Cytochrome c oxidase subunit 4 OS=Gallus gallus OX=9031 GN=COX4I1 PE=1 SV=1	COX4I1	Up	5.08094963066541
A0A8V1AH40	32	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS7 PE=1 SV=1	NDUFS7	Up	3.6613996344806576
A0A8V0YZ41	32	RNA helicase OS=Gallus gallus OX=9031 GN=EIF4A3 PE=1 SV=1	EIF4A3	Up	2.518277437710147
A0A8V0XWA8	32	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=PSMB1 PE=1 SV=1	PSMB1	Up	1.814563715650644
F1NR71	31	Proteasome 26S subunit, non-ATPase 7 OS=Gallus gallus OX=9031 GN=PSMD7 PE=1 SV=4	PSMD7	Up	1.6488899090758382
Q7ZT63	31	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=cpsmb7 PE=1 SV=1	cpsmb7	Up	3.4514104054789736
A0A1L1RP66	31	Proteasome 26S subunit, ATPase 6 OS=Gallus gallus OX=9031 GN=PSMC6 PE=1 SV=1	PSMC6	Up	1.9036731028289176
A0A8V0XIX2	31	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=USP14 PE=1 SV=1	USP14	Up	1.9311524878912787
A0A8V0XCD2	31	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Gallus gallus OX=9031 GN=NDUFA5 PE=1 SV=1	NDUFA5	Up	1.8064268078774328
A0A8V0ZC01	31	Cytochrome c oxidase subunit OS=Gallus gallus OX=9031 GN=COX6A1 PE=1 SV=1	COX6A1	Up	4.8314993707268945
A0A8V0YFF3	31	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFA10 PE=1 SV=1	NDUFA10	Up	2.434019294963501
Q9YH14	30	ATP synthase subunit e, mitochondrial OS=Gallus gallus OX=9031 GN=rbf PE=1 SV=1	rbf	Up	4.600221831962288
A0A8V0Z863	30	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Gallus gallus OX=9031 GN=NDUFB10 PE=1 SV=1	NDUFB10	Up	5.5100140968694316
A0A1D5PN54	30	ATP synthase subunit alpha OS=Gallus gallus OX=9031 GN=ATP5F1AZ PE=1 SV=1	ATP5F1AZ	Up	4.157435697583788
F1NIL3	30	ATP synthase subunit OS=Gallus gallus OX=9031 GN=ATP5L PE=1 SV=3	ATP5L	Up	4.9355987040828415
A0A1D5P179	30	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Gallus gallus OX=9031 GN=NDUFA13 PE=1 SV=1	NDUFA13	Up	4.294425627808439
A0A8V0Y6X8	30	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Gallus gallus OX=9031 GN=NDUFA12 PE=1 SV=1	NDUFA12	Up	2.1455646938564987
A0A8V0YRF1	30	Dynein cytoplasmic 1 heavy chain 1 OS=Gallus gallus OX=9031 GN=DYNC1H1 PE=1 SV=1	DYNC1H1	Up	1.9751867573374935
A0A8V0YGG7	29	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=UCHL5 PE=1 SV=1	UCHL5	Up	3.474682276075222
A0A8V0ZEY1	29	26S proteasome non-ATPase regulatory subunit 13 OS=Gallus gallus OX=9031 GN=PSMD13 PE=1 SV=1	PSMD13	Up	2.8148778584962053
P42558	29	GTP-binding nuclear protein Ran OS=Gallus gallus OX=9031 GN=RAN PE=2 SV=1	RAN	Up	2.1040192697815203
A0A8V0ZVA2	29	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Gallus gallus OX=9031 GN=NDUFB3 PE=1 SV=1	NDUFB3	Up	3.6042615015642054
A0A8V0YGM0	29	Aconitase 2 OS=Gallus gallus OX=9031 GN=ACO2 PE=1 SV=1	ACO2	Up	3.0554324944622517
A0A1D5PNM0	29	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Gallus gallus OX=9031 GN=NDUFB9 PE=1 SV=1	NDUFB9	Up	3.126691290270512
A0A1D5PUL6	29	Heat shock protein HSP 90-alpha OS=Gallus gallus OX=9031 GN=HSP90AA1 PE=3 SV=1	HSP90AA1	Up	2.3834999902158387
A0A8V0Z7C7	28	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Gallus gallus OX=9031 GN=NDUFB6 PE=1 SV=1	NDUFB6	Up	2.6333120549963174
A0A8V0Y9V7	28	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS4 PE=1 SV=1	NDUFS4	Up	10.445851278563953
A0A8V0ZVS5	28	Citrate synthase OS=Gallus gallus OX=9031 GN=CS PE=1 SV=1	CS	Up	2.9621402193217383
A0A1D5PNG3	28	Eukaryotic translation initiation factor 6 OS=Gallus gallus OX=9031 GN=EIF6 PE=1 SV=1	EIF6	Down	0.5580157850508254
A0A1D5NTY5	28	Transitional endoplasmic reticulum ATPase OS=Gallus gallus OX=9031 GN=LOC430766 PE=1 SV=2	LOC430766	Up	2.1594945135322825
A0A8V1AJB6	28	Lissencephaly-1 homolog OS=Gallus gallus OX=9031 GN=PAFAH1B1 PE=1 SV=1	PAFAH1B1	Up	1.6735998571703243
A0A8V0YCY1	28	Serpin family C member 1 OS=Gallus gallus OX=9031 GN=SERPINC1 PE=1 SV=1	SERPINC1	Up	1.6572427289031209
P08642	27	GTPase HRas OS=Gallus gallus OX=9031 GN=HRAS PE=1 SV=1	HRAS	Up	1.7408266026365806
A0A8V0XV56	27	Apolipoprotein B OS=Gallus gallus OX=9031 GN=APOB PE=1 SV=1	APOB	Up	1.6448070040257512
A0A8V0ZY87	27	Prothrombin OS=Gallus gallus OX=9031 GN=F2 PE=1 SV=1	F2	Up	2.074125736416299
A0A8V0Z382	27	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Gallus gallus OX=9031 GN=NDUFS5 PE=1 SV=1	NDUFS5	Up	4.634399308556612
R4GGZ2	26	NDUFA4, mitochondrial complex associated OS=Gallus gallus OX=9031 GN=NDUFA4 PE=1 SV=1	NDUFA4	Up	3.3676013010078703
A0A8V1A6A3	26	NOP58 ribonucleoprotein OS=Gallus gallus OX=9031 GN=NOP58 PE=1 SV=1	NOP58	Down	0.4761075315226439
F1NN08	26	ADP-ribosylation factor OS=Gallus gallus OX=9031 GN=ARF1 PE=1 SV=2	ARF1	Up	1.7191385891891289
A0A8V0YUT8	26	Alpha 2-HS glycoprotein OS=Gallus gallus OX=9031 GN=AHSG PE=1 SV=1	AHSG	Up	4.705429427237486
A0A8V0YC52	26	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Gallus gallus OX=9031 GN=NDUFA2 PE=1 SV=1	NDUFA2	Up	4.221591309868096
A0A8V1A8N2	25	Complement C8 alpha chain OS=Gallus gallus OX=9031 GN=C8A PE=1 SV=1	C8A	Down	0.5086655839680704
A0A8V0YCL9	24	Cytochrome c oxidase subunit 6C OS=Gallus gallus OX=9031 GN=COX6C PE=1 SV=1	COX6C	Up	3.3762247820112745
P14448	24	Fibrinogen alpha chain OS=Gallus gallus OX=9031 GN=FGA PE=1 SV=4	FGA	Up	3.303136722803097
A0A1D5PLP1	24	Nascent polypeptide-associated complex alpha subunit OS=Gallus gallus OX=9031 GN=NACA PE=1 SV=1	NACA	Down	0.5031587522865217
A0A8V0ZJT8	23	Aspartate aminotransferase OS=Gallus gallus OX=9031 GN=GOT2 PE=1 SV=1	GOT2	Up	3.3201892744479498
A0A8V1AGU4	23	26S proteasome non-ATPase regulatory subunit 5 OS=Gallus gallus OX=9031 GN=PSMD5 PE=1 SV=1	PSMD5	Up	2.6261223092395256
A0A8V0Y9L1	23	Eukaryotic translation initiation factor 3 subunit L OS=Gallus gallus OX=9031 GN=EIF3L PE=1 SV=1	EIF3L	Up	2.4065117496325263
A0A8V0Z1E6	22	Serpin family A member 1 OS=Gallus gallus OX=9031 GN=SPIA1 PE=1 SV=1	SPIA1	Up	1.7309045746222314
A0A1D5NWL4	22	transketolase OS=Gallus gallus OX=9031 GN=TKTL1 PE=1 SV=2	TKTL1	Up	3.4044062715838237
A0A8V0ZRT5	22	Dynein cytoplasmic 1 intermediate chain 2 OS=Gallus gallus OX=9031 GN=DYNC1I2 PE=1 SV=1	DYNC1I2	Up	1.5669411519844596
A0A8V0Z832	22	Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase OS=Gallus gallus OX=9031 GN=H6PD PE=1 SV=1	H6PD	Down	0.6543223917794944
A0A8V0YIZ9	22	Fibrinogen gamma chain OS=Gallus gallus OX=9031 GN=FGG PE=1 SV=1	FGG	Up	6.743326046370614
F1NZ86	22	Stress-70 protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPA9 PE=1 SV=1	HSPA9	Up	3.176469423810678
A0A8V0YDD6	21	Fibronectin OS=Gallus gallus OX=9031 GN=FN1 PE=1 SV=1	FN1	Down	0.37660649597366536
A0A160F7C1	21	Corticosteroid binding globulin OS=Gallus gallus OX=9031 GN=SPIA4 PE=1 SV=1	SPIA4	Up	1.808399288458068
F1NUX4	20	Serine/threonine-protein kinase TOR OS=Gallus gallus OX=9031 GN=MTOR PE=1 SV=2	MTOR	Up	2.0567289287835786
A0A8V0YUC6	20	Coagulation factor IX OS=Gallus gallus OX=9031 GN=F9 PE=1 SV=1	F9	Up	5.408341966860903
Q5ZL72	20	60 kDa heat shock protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPD1 PE=1 SV=1	HSPD1	Up	4.728373719367667
F1NJU7	20	Tyrosine--tRNA ligase OS=Gallus gallus OX=9031 GN=YARS PE=1 SV=3	YARS	Up	1.994885764915011
A0A8V0Z0G8	20	Proteasome activator subunit 4 OS=Gallus gallus OX=9031 GN=PSME4 PE=1 SV=1	PSME4	Up	2.253733562871308
A0A1D5PPN9	20	Endoplasmin OS=Gallus gallus OX=9031 GN=HSP90B1 PE=1 SV=1	HSP90B1	Up	1.8061986585560827
A0A8V0XCT6	20	Vitamin D-binding protein OS=Gallus gallus OX=9031 GN=GC PE=1 SV=1	GC	Up	2.8184097147100253
A0A1D5PC23	20	Transaldolase OS=Gallus gallus OX=9031 GN=TALDO1 PE=1 SV=1	TALDO1	Up	3.9162535459527934
A0A8V0Y121	19	Lysine--tRNA ligase OS=Gallus gallus OX=9031 GN=CHST4 PE=1 SV=1	CHST4	Up	5.6201488430175
A0A8V0YV00	19	Eukaryotic translation initiation factor 4 gamma 1 OS=Gallus gallus OX=9031 GN=EIF4G1 PE=1 SV=1	EIF4G1	Up	2.1762525632563485
A0A8V0Z794	19	Alpha-centractin OS=Gallus gallus OX=9031 GN=ACTR1A PE=1 SV=1	ACTR1A	Up	2.681733807618955
A0A1D5PFJ6	19	Heat shock 70kDa protein 8 OS=Gallus gallus OX=9031 GN=HSPA8 PE=1 SV=2	HSPA8	Up	2.0119763410157043
Q5ZMG9	19	T-complex protein 1 subunit alpha OS=Gallus gallus OX=9031 GN=TCP1 PE=1 SV=1	TCP1	Up	3.715089300425715
A0A8V0YS27	19	Fibrinogen beta chain OS=Gallus gallus OX=9031 GN=FGB PE=4 SV=1	FGB	Up	3.94808267585676
A0A8V0XRC4	18	Versican core protein OS=Gallus gallus OX=9031 GN=VCAN PE=4 SV=1	VCAN	Down	0.3965801285174634
A0A1D5PEH3	18	Pyruvate dehydrogenase E1 component subunit alpha OS=Gallus gallus OX=9031 GN=PDHA2 PE=1 SV=1	PDHA2	Up	4.323014389074059
A0A1D5PFB8	18	Dynactin subunit 2 OS=Gallus gallus OX=9031 GN=DCTN2 PE=1 SV=2	DCTN2	Up	4.0061713371810015
A0A1D5P9I3	18	Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Gallus gallus OX=9031 GN=IDH3B PE=1 SV=2	IDH3B	Up	2.7409597309861966
A0A3Q2TZD8	18	UV excision repair protein RAD23 OS=Gallus gallus OX=9031 GN=RAD23B PE=1 SV=1	RAD23B	Up	1.7635508849557524
P00337	18	L-lactate dehydrogenase B chain OS=Gallus gallus OX=9031 GN=LDHB PE=1 SV=3	LDHB	Up	1.92628518795694
A0A8V0Y2J9	18	Dynactin subunit 3 OS=Gallus gallus OX=9031 GN=DCTN3 PE=1 SV=1	DCTN3	Up	4.039423683451996
A0A8V0ZI98	18	ATP synthase subunit f, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5J2 PE=1 SV=1	ATP5J2	Up	8.183695619749562
A0A8V0XK27	17	Cytoplasmic dynein 2 heavy chain 1 OS=Gallus gallus OX=9031 GN=DYNC2H1 PE=1 SV=1	DYNC2H1	Down	0.6173758433212007
