# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster100	7	O95290	GO:0055085; P:transmembrane transport; IBA:GO_Central	Anas|A0A8B9V184;Columba|A0A2I0LJ47;Columba|A0A2I0M429;Columba|A0A2I0M7A8;Columba|A0A2I0MDT0;Columba|A0A2I0MSD9;Gallus|F1NM51
cluster108	7	Q9NSL6	GO:0006511; P:ubiquitin-dependent protein catabolic process; IBA:GO_Central	Columba|A0A2I0LH75;Columba|A0A2I0LL16;Columba|A0A2I0MBL2;Columba|A0A2I0ML35;Columba|A0A2I0MPI7;Columba|A0A2I0MRN9;Gallus|A0A8V0X7N6
cluster110	7	Q6IFV4	GO:0043587; P:tongue morphogenesis; IEP:RGD	Columba|A0A2I0LLZ1;Columba|A0A2I0LLZ8;Columba|A0A2I0LM08;Columba|A0A2I0LM09;Columba|A0A2I0LM12;Columba|R7VNU7;Gallus|A0A8V1A8U0
cluster120	6	Q86VH2	GO:0021591; P:ventricular system development; IEA:Ensembl	Anas|A0A493STG0;Columba|A0A2I0LLF5;Columba|A0A2I0LV23;Columba|A0A2I0M2W0;Columba|A0A2I0MAF5;Columba|A0A2I0MFT4
cluster125	6	Q8TDX7	GO:0051225; P:spindle assembly; TAS:UniProtKB	Anas|A0A493TRM7;Columba|A0A2I0ME18;Columba|A0A2I0MNF5;Columba|A0A2I0MQR3;Columba|A0A2I0MT01;Gallus|A0A8V0Y9D6
cluster134	6	P98199	GO:0045332; P:phospholipid translocation; IBA:GO_Central	Anas|A0A8B9ZTQ5;Columba|A0A2I0LJH3;Columba|A0A2I0LK88;Columba|A0A2I0LP10;Columba|A0A2I0LRX0;Gallus|A0A8V0Y0Z9
cluster138	6	Q62920	GO:0051963; P:regulation of synapse assembly; IDA:UniProtKB	Anas|A0A493SS89;Columba|A0A2I0LH55;Columba|A0A2I0M912;Columba|A0A2I0M960;Columba|A0A2I0MFI6;Gallus|A0A8V0XJD2
cluster139	6	Q7SIB3	GO:0005201; F:extracellular matrix structural constituent; IEA:InterPro	Anas|A0A493STX5;Anas|A0A8B9T9Z4;Columba|A0A2I0MAW5;Columba|A0A2I0MBC4;Columba|A0A2I0MS88;Columba|A0A2I0MT61
cluster152	6	P62822	GO:0047496; P:vesicle transport along microtubule; ISS:UniProtKB	Anas|A0A493TJ50;Columba|A0A2I0LTK2;Columba|A0A2I0M799;Columba|A0A2I0M9F3;Columba|A0A2I0MFP3;Gallus|A0A1D5PE33
cluster160	6	Q925F3	GO:0006511; P:ubiquitin-dependent protein catabolic process; IBA:GO_Central	Anas|A0A8B9SKK5;Columba|A0A2I0LTB0;Columba|A0A2I0M6T4;Columba|A0A2I0M9V4;Columba|A0A2I0MQB9;Columba|A0A2I0MVC6
cluster171	6	Q7Z739	GO:0045948; P:positive regulation of translational initiation; IDA:UniProtKB	Anas|A0A8B9UD74;Anas|R0JVS6;Columba|A0A2I0M1J8;Columba|A0A2I0M566;Columba|A0A2I0M8V0;Columba|A0A2I0MVV1
cluster173	6	Q9XSL6	GO:0004222; F:metalloendopeptidase activity; IEA:InterPro	Anas|A0A8B9UPK7;Columba|A0A2I0LTF5;Columba|A0A2I0LXK5;Columba|A0A2I0MEF7;Columba|A0A2I0MRA9;Gallus|A0A8V0ZFU0
cluster175	6	Q01082	GO:0060390; P:regulation of SMAD protein signal transduction; IEA:Ensembl	Anas|R0LN18;Columba|A0A2I0LGR9;Columba|A0A2I0M9B1;Columba|A0A2I0MPD9;Columba|A0A2I0MVB9;Gallus|A0A1D5P797
cluster176	6	Q03064	GO:0035879; P:plasma membrane lactate transport; ISS:UniProtKB	Anas|A0A493ST50;Columba|A0A2I0LZZ0;Columba|A0A2I0MJ77;Columba|A0A2I0MVG7;Columba|R7VWJ0;Gallus|A0A8V0ZSH6
cluster177	6	Q5NVG2	GO:0006694; P:steroid biosynthetic process; IEA:UniProtKB-KW	Anas|A0A493T1E6;Columba|A0A2I0M2Z0;Columba|A0A2I0MGL6;Columba|A0A2I0MVY7;Columba|A0A2I0MW12;Gallus|A0A8V0XK42
cluster186	6	Q6ZXD2	GO:0006665; P:sphingolipid metabolic process; IEA:UniProtKB-UniPathway	Columba|A0A2I0LJ60;Columba|A0A2I0M0L6;Columba|A0A2I0M8T1;Columba|A0A2I0MDG6;Gallus|A0A1D5PIR8;Gallus|A0A8V0YR94
cluster208	5	Q7L8C5	GO:0016192; P:vesicle-mediated transport; IBA:GO_Central	Anas|A0A493U2D3;Columba|A0A2I0LM21;Columba|A0A2I0LZU1;Columba|A0A2I0MHW3;Columba|A0A2I0MQ11
cluster236	5	Q8WWZ7	GO:0055085; P:transmembrane transport; TAS:Reactome	Anas|A0A493T0T8;Anas|A0A493TEE3;Columba|A0A2I0LH99;Columba|A0A2I0LWQ5;Columba|A0A2I0M7E8
cluster243	5	P30413	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	Anas|A0A493T7I4;Anas|A0A8B9QNX5;Columba|A0A2I0LZK2;Columba|A0A2I0MPM7;Columba|A0A2I0MS67
cluster257	5	Q60431	GO:0097199; F:cysteine-type endopeptidase activity involved in apoptotic signaling pathway; ISS:UniProtKB	Anas|A0A493TVT4;Columba|A0A2I0LQ88;Columba|A0A2I0LQ91;Columba|A0A2I0MEW3;Columba|A0A2I0MMP4
cluster279	5	Q2HJE4	GO:0006511; P:ubiquitin-dependent protein catabolic process; IEA:InterPro	Anas|A0A8B9SZ75;Columba|A0A2I0LW91;Columba|A0A2I0M9R8;Columba|A0A2I0MD11;Columba|A0A2I0MJ58
cluster283	5	A2AAJ9	GO:0035023; P:regulation of Rho protein signal transduction; IEA:InterPro	Anas|A0A8B9T4Q4;Columba|A0A2I0LRA9;Columba|A0A2I0LZK0;Columba|A0A2I0LZX9;Columba|A0A2I0MQK0
cluster288	5	F1NTD6	GO:0032508; P:DNA duplex unwinding; ISS:UniProtKB	Anas|A0A8B9T9U5;Columba|A0A2I0LJC1;Columba|A0A2I0M560;Columba|A0A2I0MTK9;Columba|A0A2I0MTL0
cluster302	5	Q9BYK8	GO:0019216; P:regulation of lipid metabolic process; TAS:Reactome	Anas|A0A8B9UKK7;Anas|R0JAX9;Columba|A0A2I0LMA8;Columba|A0A2I0LPW2;Columba|A0A2I0M5U2
cluster306	5	B2KI30	GO:0004867; F:serine-type endopeptidase inhibitor activity; IEA:UniProtKB-KW	Anas|A0A8B9QKY5;Anas|A0A8B9V6M0;Columba|A0A2I0MW30;Columba|A0A2I0MX89;Columba|A0A2I0MX91
cluster324	5	Q9BZ26	GO:0007264; P:small GTPase mediated signal transduction; IEA:InterPro	Anas|A0A493SWL9;Anas|A0A493T3L3;Columba|A0A2I0MBU2;Columba|A0A2I0MBV3;Columba|A0A2I0MT84
cluster327	5	Q60790	GO:0046580; P:negative regulation of Ras protein signal transduction; IEA:InterPro	Anas|A0A493T0I3;Columba|A0A2I0LW13;Columba|A0A2I0LYK9;Columba|A0A2I0MC48;Columba|A0A2I0MSR4
cluster341	5	Q9NZM3	GO:0016032; P:viral process; IEA:UniProtKB-KW	Anas|A0A8B9QSS3;Columba|A0A2I0LTS2;Columba|A0A2I0M1K6;Columba|A0A2I0MK31;Columba|A0A2I0MVD2
cluster350	5	Q9WV92	GO:0008360; P:regulation of cell shape; IMP:BHF-UCL	Anas|A0A8B9TKQ4;Columba|A0A2I0LNT3;Columba|A0A2I0LRZ7;Columba|A0A2I0MT87;Columba|A0A2I0MWK5
cluster361	5	Q9UGK8	GO:0007165; P:signal transduction; TAS:UniProtKB	Anas|R0M8D3;Columba|A0A2I0LNR8;Columba|A0A2I0M367;Columba|A0A2I0MF06;Columba|A0A2I0MI84
cluster363	5	Q95267	GO:0045944; P:positive regulation of transcription by RNA polymerase II; ISS:UniProtKB	Columba|A0A2I0LTB5;Columba|A0A2I0LU83;Columba|A0A2I0LZE0;Columba|A0A2I0MCJ9;Gallus|A0A1D5PRD7
cluster365	5	Q9H540	GO:0042060; P:wound healing; ISS:UniProtKB	Columba|A0A2I0LI91;Columba|A0A2I0LJY8;Columba|A0A2I0MUA4;Gallus|A0A8V0YWN7;Gallus|A0A8V0YWS4
cluster368	5	Q32P44	GO:0000226; P:microtubule cytoskeleton organization; IBA:GO_Central	Columba|A0A2I0MAP4;Columba|A0A2I0MP23;Columba|A0A2I0MP27;Gallus|A0A1D5NU87;Gallus|A0A8V0X2X8
cluster371	4	Q90670	GO:0007179; P:transforming growth factor beta receptor signaling pathway; IBA:GO_Central	Anas|A0A493SY77;Columba|A0A2I0MGC8;Columba|A0A2I0MRE7;Columba|A0A2I0MRL0
cluster461	4	P98150	GO:0007165; P:signal transduction; IEA:InterPro	Anas|A0A493SV05;Columba|A0A2I0M903;Columba|A0A2I0M9F6;Columba|A0A2I0MF89
cluster482	4	P62253	GO:0006511; P:ubiquitin-dependent protein catabolic process; IBA:GO_Central	Anas|A0A493T3F5;Columba|A0A2I0LUP8;Columba|A0A2I0LYE0;Columba|A0A2I0M1V0
cluster520	4	Q9NZA1	GO:0007605; P:sensory perception of sound; IMP:UniProtKB	Anas|A0A493TTT5;Columba|A0A2I0LIC9;Columba|A0A2I0MRS2;Columba|A0A2I0MVK6
cluster541	4	Q91WG5	GO:0006110; P:regulation of glycolytic process; ISO:MGI	Anas|A0A8B9QNC1;Columba|A0A2I0LK95;Columba|A0A2I0LKI1;Columba|A0A2I0MQT0
cluster547	4	P27042	GO:0009253; P:peptidoglycan catabolic process; IEA:InterPro	Anas|A0A8B9QRA4;Columba|A0A2I0MS32;Columba|A0A2I0MS42;Columba|A0A2I0MS43
cluster568	4	A6N7Y9	GO:0035093; P:spermatogenesis, exchange of chromosomal proteins; ISS:UniProtKB	Anas|A0A8B9SQ87;Columba|A0A2I0LRR3;Columba|A0A2I0LRR9;Columba|A0A2I0M8H2
cluster580	4	Q8IZT8	GO:0046596; P:regulation of viral entry into host cell; IDA:UniProtKB	Anas|A0A8B9SYP0;Columba|A0A2I0LX16;Columba|A0A2I0M7H4;Columba|A0A2I0MUD6
cluster604	4	O43825	GO:0006487; P:protein N-linked glycosylation; IBA:GO_Central	Anas|A0A8B9TKG4;Columba|A0A2I0LJ67;Columba|A0A2I0M1C8;Columba|A0A2I0MDQ5
cluster645	4	P21869	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	Anas|A0A8B9VV06;Columba|A0A2I0LIP9;Columba|A0A2I0LIS4;Columba|A0A2I0M7Q9
cluster648	4	O94851	GO:0019417; P:sulfur oxidation; ISS:UniProtKB	Anas|A0A8B9VY73;Columba|A0A2I0LHL8;Columba|A0A2I0LT29;Columba|A0A2I0MI17
cluster689	4	O15013	GO:0035023; P:regulation of Rho protein signal transduction; IEA:InterPro	Anas|A0A493T5E8;Columba|A0A2I0M386;Columba|A0A2I0M715;Columba|A0A2I0MTG1
cluster707	4	Q3SZJ2	GO:0050852; P:T cell receptor signaling pathway; ISS:UniProtKB	Anas|A0A8B9QNL7;Columba|A0A2I0MT80;Columba|A0A2I0MXV2;Columba|A0A2I0MXY8
cluster710	4	Q9HBH5	GO:0001649; P:osteoblast differentiation; HDA:UniProtKB	Anas|A0A8B9QSW1;Columba|A0A2I0MNH6;Columba|A0A2I0MS49;Columba|A0A2I0MTG5
cluster726	4	Q92636	GO:0007165; P:signal transduction; TAS:ProtInc	Anas|A0A8B9SQE0;Columba|A0A2I0LXH8;Columba|A0A2I0MTN8;Columba|A0A2I0MX00
cluster733	4	Q9BQQ6	GO:0070374; P:positive regulation of ERK1 and ERK2 cascade; IDA:MGI	Anas|A0A8B9T272;Columba|A0A2I0LZW6;Columba|A0A2I0M3M8;Columba|A0A2I0MHV4
cluster766	4	Q9NZN5	GO:0007266; P:Rho protein signal transduction; IEA:InterPro	Anas|A0A8B9UCH9;Columba|A0A2I0LJI3;Columba|A0A2I0LPG4;Columba|A0A2I0LS93
cluster800	4	Q0V7M0	GO:0006607; P:NLS-bearing protein import into nucleus; IBA:GO_Central	Columba|A0A2I0LNF2;Columba|A0A2I0ML81;Columba|A0A2I0MVK9;Gallus|A0A8V0YV14
cluster802	4	Q9UEB7	GO:0070914; P:UV-damage excision repair; IDA:UniProtKB	Columba|A0A2I0MB90;Columba|A0A2I0MBP3;Columba|A0A2I0MS12;Gallus|A0A8V0YLW8
cluster804	4	Q91ZA3	GO:0004658; F:propionyl-CoA carboxylase activity; IMP:MGI	Columba|A0A2I0MBI7;Columba|A0A2I0MSE3;Columba|A0A2I0MSE5;Gallus|A0A8V0XHY2
cluster805	4	Q86YB7	GO:0006635; P:fatty acid beta-oxidation; IBA:GO_Central	Columba|A0A2I0M6E4;Columba|A0A2I0MBY6;Columba|A0A2I0MUG3;Gallus|A0A8V0ZW56
cluster808	4	Q8TEF5	GO:0035023; P:regulation of Rho protein signal transduction; IEA:InterPro	Columba|A0A2I0LIG2;Columba|A0A2I0MS05;Columba|A0A2I0MU45;Gallus|A0A8V0ZJF4
cluster809	4	Q13972	GO:0007264; P:small GTPase mediated signal transduction; IEA:InterPro	Columba|A0A2I0LT24;Columba|A0A2I0M3R2;Columba|A0A2I0M3S8;Gallus|A0A8V0YW34
cluster810	4	Q98ST5	GO:0005615; C:extracellular space; IBA:GO_Central	Columba|A0A2I0M0A2;Columba|A0A2I0MVT4;Columba|A0A2I0MVT7;Gallus|A0A8V0XGV7
