GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	other	7	A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0Z1W6 A0A1D5PZ68 A0A8V0ZV19 A0A8V0YDD6
Cellular Component	extracellular region	7	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	organelle	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	extracellular space	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	cytoplasm	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	endomembrane system	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	membrane	5	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	cell periphery	4	A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Cellular Component	membrane-enclosed lumen	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2
Cellular Component	cell surface	2	A0A8V0Y0J2 A0A8V0ZV19
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Y0J2 A0A8V0Z1W6
Cellular Component	distal axon	1	A0A8V0Y0J2
Cellular Component	apical part of cell	1	A0A8V0YDD6
Cellular Component	fusome	1	A0A8V0Z5X2
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	fibrinogen complex	1	A0A8V0YDD6
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	ion binding	5	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	amide binding	4	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	carbohydrate derivative binding	4	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	hydrolase activity	3	A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Molecular Function	small molecule binding	3	A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	lipid binding	2	A0A1D5PT25 A0A8V0Z5X2
Molecular Function	transferase activity	2	A0A8V0Z1W6 A0A8V0ZV19
Molecular Function	enzyme regulator activity	2	A0A8V0YDD6 A0A8V0Z5X2
Molecular Function	protein-containing complex binding	2	A0A8V0Y0J2 A0A8V0YDD6
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
