GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	organic substance metabolic process	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Biological Process	regulation of biological quality	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V1AC48 P01012 R4GFJ0
Biological Process	cellular component organization or biogenesis	7	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48
Biological Process	cellular metabolic process	7	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Biological Process	vesicle-mediated transport	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZV62
Biological Process	regulation of molecular function	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 P01012
Biological Process	anatomical structure morphogenesis	6	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3 R4GFJ0
Biological Process	primary metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 R4GFJ0
Biological Process	macromolecule localization	5	A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V0ZV62 R4GFJ0
Biological Process	other	11	A0A8V0ZA93 P01012 A0A8V0YUU0 R4GFJ0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV62 A0A8V1AC48 A0A8V0Z3S9 A0A8V0YDD6 A0A8V0ZKI3
Cellular Component	extracellular region	12	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZKI3 A0A8V0ZTX8 A0A8V1AC48 P01012 R4GFJ0
Cellular Component	extracellular space	9	A0A8V0XEK3 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZKI3 A0A8V1AC48 P01012 R4GFJ0
Cellular Component	intracellular anatomical structure	9	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 P01012 R4GFJ0
Cellular Component	cytoplasm	9	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 P01012 R4GFJ0
Cellular Component	endomembrane system	9	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 P01012 R4GFJ0
Cellular Component	organelle	9	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 P01012 R4GFJ0
Cellular Component	membrane	7	A0A8V0XEK3 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component	cell periphery	7	A0A8V0XEK3 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV62 R4GFJ0
Cellular Component	membrane-enclosed lumen	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z3S9 A0A8V0Z5X2 P01012
Cellular Component	somatodendritic compartment	3	A0A8V0Y0J2 A0A8V0ZV62 R4GFJ0
Cellular Component	cell projection	3	A0A8V0Y0J2 A0A8V0ZV62 R4GFJ0
Cellular Component	cytosol	2	A0A8V0ZV62 P01012
Cellular Component	cell surface	2	A0A8V0Y0J2 A0A8V0ZV62
Cellular Component	cell body	2	A0A8V0ZV62 R4GFJ0
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Y0J2 A0A8V0ZV62
Cellular Component	other	6	A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Molecular Function	protein binding	10	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZKI3 A0A8V0ZV62 A0A8V1AC48 P01012 R4GFJ0
Molecular Function	ion binding	6	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 P01012 R4GFJ0
Molecular Function	hydrolase activity	4	A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZA93 R4GFJ0
Molecular Function	protein-containing complex binding	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3
Molecular Function	carbohydrate derivative binding	4	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	enzyme regulator activity	3	A0A8V0YDD6 A0A8V0Z5X2 P01012
Molecular Function	amide binding	3	A0A8V0Y0J2 A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	lipid binding	2	A0A1D5PT25 A0A8V0Z5X2
Molecular Function	small molecule binding	2	A0A8V0Z5X2 A0A8V0ZA93
Molecular Function	signaling receptor activity	2	A0A8V0XEK3 A0A8V0ZV62
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	catalytic activity, acting on a protein	1	R4GFJ0
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
