Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0Y9Y9	54	Large ribosomal subunit protein uL3 OS=Gallus gallus OX=9031 GN=RPL3 PE=1 SV=1	RPL3	Up	7.275952685542875
A0A8V0ZBR5	54	Eukaryotic translation initiation factor 3 subunit F OS=Gallus gallus OX=9031 GN=EIF3F PE=1 SV=1	EIF3F	Up	2.8440017537129387
Q5ZMS3	53	Eukaryotic translation initiation factor 2 subunit 3 OS=Gallus gallus OX=9031 GN=EIF2S3 PE=1 SV=1	EIF2S3	Up	3.0429690547900314
A0A1D5P3B1	53	Large ribosomal subunit protein uL5 OS=Gallus gallus OX=9031 GN=RPL11 PE=1 SV=1	RPL11	Up	1.7170753529405645
P84175	52	Small ribosomal subunit protein eS12 OS=Gallus gallus OX=9031 GN=RPS12 PE=1 SV=2	RPS12	Up	2.9951025862043257
P41125	51	Large ribosomal subunit protein eL13 OS=Gallus gallus OX=9031 GN=RPL13 PE=2 SV=2	RPL13	Up	1.986570779463348
A0A8V0ZGP2	51	Large ribosomal subunit protein uL14 OS=Gallus gallus OX=9031 GN=RPL23 PE=1 SV=1	RPL23	Up	2.1489369830566747
A0A8V0XPN5	51	Small ribosomal subunit protein uS12 OS=Gallus gallus OX=9031 GN=RPS23 PE=1 SV=1	RPS23	Down	0.4254543863347959
A0A8V1A9M2	50	Ribosomal protein OS=Gallus gallus OX=9031 GN=RPL10A PE=1 SV=1	RPL10A	Up	1.9960943772050492
A0A1D5P7C6	49	Proliferation-associated 2G4 OS=Gallus gallus OX=9031 GN=PA2G4 PE=1 SV=1	PA2G4	Up	1.5714967838247238
A0A8V0ZL98	49	Large ribosomal subunit protein uL15 OS=Gallus gallus OX=9031 GN=RPL27A PE=1 SV=1	RPL27A	Up	3.965294587901184
P32429	48	Large ribosomal subunit protein eL8 OS=Gallus gallus OX=9031 GN=RPL7A PE=2 SV=2	RPL7A	Up	1.7919469232818328
A0A8V0XJK4	48	Large ribosomal subunit protein uL30 OS=Gallus gallus OX=9031 GN=RPL7 PE=3 SV=1	RPL7	Up	1.678934759885997
F1NCE1	48	Eukaryotic translation initiation factor 3 subunit D OS=Gallus gallus OX=9031 GN=EIF3D PE=1 SV=3	EIF3D	Up	1.669768001869772
A0A8V0Y4V6	47	Large ribosomal subunit protein uL24 OS=Gallus gallus OX=9031 GN=RPL26L1 PE=1 SV=1	RPL26L1	Up	2.915209970120865
E1C658	47	ATP synthase subunit d, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5H PE=1 SV=3	ATP5H	Up	3.4243413964776197
Q5F411	47	T-complex protein 1 subunit epsilon OS=Gallus gallus OX=9031 GN=CCT5 PE=1 SV=1	CCT5	Up	2.619871301884415
A0A1D5P0U8	46	ATP synthase subunit gamma OS=Gallus gallus OX=9031 GN=ATP5C1 PE=1 SV=1	ATP5C1	Up	4.428764772362602
A0A8V1A624	46	ATP synthase subunit beta OS=Gallus gallus OX=9031 GN=ATP5B PE=1 SV=1	ATP5B	Up	3.5949978151855015
Q9I8D6	45	T-complex protein 1 subunit delta OS=Gallus gallus OX=9031 GN=tcp-1 delta PE=1 SV=1	tcp-1	Up	1.8156865454673543
A0A8V1AAB0	45	Large ribosomal subunit protein uL29 OS=Gallus gallus OX=9031 GN=RPL35 PE=3 SV=1	RPL35	Up	4.405257230087591
A0A8V0ZW50	45	Eukaryotic translation initiation factor 3 subunit M OS=Gallus gallus OX=9031 GN=EIF3M PE=1 SV=1	EIF3M	Up	2.9096852703299985
A0A8V0XRE7	44	Large ribosomal subunit protein eL24 OS=Gallus gallus OX=9031 GN=RPL24 PE=1 SV=1	RPL24	Up	1.558862528151131
E1BVT3	44	Malate dehydrogenase OS=Gallus gallus OX=9031 GN=MDH2 PE=1 SV=3	MDH2	Up	2.17501174523268
A0A8V0YR80	43	Large ribosomal subunit protein eL14 OS=Gallus gallus OX=9031 GN=RPL14 PE=1 SV=1	RPL14	Up	1.7389668601034505
A0A8V1AA37	43	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS1 PE=1 SV=1	NDUFS1	Up	3.36178535665556
A0A8V0X9X8	42	Tumor protein, translationally-controlled 1 OS=Gallus gallus OX=9031 GN=TPT1 PE=1 SV=1	TPT1	Up	2.641948654169083
A0A8V0YZL1	42	Ubiquinol-cytochrome c reductase core protein 2 OS=Gallus gallus OX=9031 GN=UQCRC2 PE=1 SV=1	UQCRC2	Up	2.4539234785319097
A0A1D5PMT8	42	Large ribosomal subunit protein P2 OS=Gallus gallus OX=9031 GN=RPLP2 PE=1 SV=1	RPLP2	Up	3.0577274363658185
A0A8V1A3B4	42	Ubiquinol-cytochrome c reductase core protein 1 OS=Gallus gallus OX=9031 GN=UQCRC1 PE=1 SV=1	UQCRC1	Up	3.105162039480629
A0A8V0XBW1	41	Elongation factor 1-alpha OS=Gallus gallus OX=9031 GN=EEF1A1 PE=1 SV=1	EEF1A1	Up	1.7639040144203688
A0A1D5PIF0	41	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Gallus gallus OX=9031 GN=SDHB PE=3 SV=1	SDHB	Up	4.117371538779446
A0A1D5PR40	40	Large ribosomal subunit protein uL22 OS=Gallus gallus OX=9031 GN=LOC107049046 PE=1 SV=1	LOC107049046	Up	3.035318875610621
A0A8V0Y9X9	40	ATP synthase subunit O, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5O PE=1 SV=1	ATP5O	Up	3.099969724492885
A0A8V1A4N7	40	ATP synthase subunit b OS=Gallus gallus OX=9031 GN=ATP5PB PE=1 SV=1	ATP5PB	Up	5.328431228317012
A0A8V0YYI8	40	T-complex protein 1 subunit eta OS=Gallus gallus OX=9031 GN=CCT7 PE=3 SV=1	CCT7	Up	1.8164306965849188
A0A8V1AH32	40	60S ribosomal protein L36 OS=Gallus gallus OX=9031 GN=RPL36 PE=1 SV=1	RPL36	Up	2.377455288221741
A0A8V1A3Y5	40	Eukaryotic translation initiation factor 2 subunit 2 OS=Gallus gallus OX=9031 GN=EIF2S2 PE=1 SV=1	EIF2S2	Up	2.0355582819490423
P84172	39	Elongation factor Tu, mitochondrial (Fragment) OS=Gallus gallus OX=9031 GN=TUFM PE=1 SV=1	TUFM	Up	2.0094268476621417
A0A8V1AEY5	39	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS2 PE=1 SV=1	NDUFS2	Up	1.9340010153689944
A0A1D5NW93	39	ATP synthase F1 subunit delta OS=Gallus gallus OX=9031 GN=ATP5D PE=1 SV=2	ATP5D	Up	3.8206110051785407
A0A1L1S0X5	39	Large ribosomal subunit protein eL34 OS=Gallus gallus OX=9031 GN=RPL34 PE=1 SV=2	RPL34	Up	3.256284146078668
A0A8V0ZPD6	38	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS3 PE=1 SV=1	NDUFS3	Up	2.1117603164993595
A0A8V0ZRZ8	38	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFA9 PE=1 SV=1	NDUFA9	Up	5.011989705174615
A0A8V0ZU95	38	Cytochrome c oxidase subunit 5A, mitochondrial OS=Gallus gallus OX=9031 GN=COX5A PE=1 SV=1	COX5A	Up	2.8585179803850345
A0A1D5PI06	38	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFV2 PE=1 SV=1	NDUFV2	Up	2.084357395072847
A0A8V0ZVS5	38	Citrate synthase OS=Gallus gallus OX=9031 GN=CS PE=1 SV=1	CS	Up	2.060114446445703
A0A8V0XW68	37	Cytochrome c oxidase subunit 4 OS=Gallus gallus OX=9031 GN=COX4I1 PE=1 SV=1	COX4I1	Up	4.214491569655297
A0A8V0X4M9	37	Eukaryotic translation initiation factor 3 subunit A OS=Gallus gallus OX=9031 GN=EIF3A PE=1 SV=1	EIF3A	Up	3.2414537560769228
A0A8V1AH40	37	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS7 PE=1 SV=1	NDUFS7	Up	3.5955505702000368
A0A8V0YUW3	37	Eukaryotic initiation factor 4A-II OS=Gallus gallus OX=9031 GN=EIF4A2 PE=3 SV=1	EIF4A2	Up	2.08065838055259
Q5ZHZ0	37	Spliceosome RNA helicase DDX39B OS=Gallus gallus OX=9031 GN=DDX39B PE=2 SV=1	DDX39B	Up	3.190811774877993
A0A1L1RX26	37	Eukaryotic peptide chain release factor subunit 1 OS=Gallus gallus OX=9031 GN=ETF1 PE=1 SV=1	ETF1	Up	1.5560687822934651
A0A1D5PJW4	36	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA7 PE=1 SV=1	PSMA7	Up	1.920442012476845
A0A8V0YGM0	36	Aconitase 2 OS=Gallus gallus OX=9031 GN=ACO2 PE=1 SV=1	ACO2	Up	1.5652968013135953
A0A8V0Y2X7	36	26S proteasome regulatory subunit 7 OS=Gallus gallus OX=9031 GN=PSMC2 PE=1 SV=1	PSMC2	Up	2.210065375601332
A0A8V0XUD0	36	Elongation factor 1-delta OS=Gallus gallus OX=9031 GN=EEF1D PE=1 SV=1	EEF1D	Up	3.66617485977098
A0A8V0YCP2	35	T-complex protein 1 subunit beta OS=Gallus gallus OX=9031 GN=CCT2 PE=1 SV=1	CCT2	Up	2.308988987025843
A0A8V0Z863	35	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Gallus gallus OX=9031 GN=NDUFB10 PE=1 SV=1	NDUFB10	Up	3.3708121125339665
A0A1D5P179	35	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Gallus gallus OX=9031 GN=NDUFA13 PE=1 SV=1	NDUFA13	Up	3.4067597029784227
A0A8V0XCD2	34	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Gallus gallus OX=9031 GN=NDUFA5 PE=1 SV=1	NDUFA5	Up	3.0391678321678324
A0A8V0Y9V7	34	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFS4 PE=1 SV=1	NDUFS4	Up	4.926420710886783
A0A8V0Y814	34	T-complex protein 1 subunit theta OS=Gallus gallus OX=9031 GN=CCT8 PE=1 SV=1	CCT8	Up	2.9910330786279733
A0A8V0YFF3	34	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFA10 PE=1 SV=1	NDUFA10	Up	3.301151232326047
A0A1D5PN54	34	ATP synthase subunit alpha OS=Gallus gallus OX=9031 GN=ATP5F1AZ PE=1 SV=1	ATP5F1AZ	Up	3.5708002517104256
Q5ZLI2	33	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA3 PE=1 SV=1	PSMA3	Up	1.8585121673192249
A0A1D5PNM0	33	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Gallus gallus OX=9031 GN=NDUFB9 PE=1 SV=1	NDUFB9	Up	3.3871730895262275
F1NU79	33	26S proteasome regulatory subunit 8 OS=Gallus gallus OX=9031 GN=PSMC5 PE=1 SV=2	PSMC5	Up	2.187097489740841
A0A8V0Y6X8	33	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Gallus gallus OX=9031 GN=NDUFA12 PE=1 SV=1	NDUFA12	Up	1.503496733271736
A0A1D5NXL7	33	Proteasome 26S subunit, non-ATPase 3 OS=Gallus gallus OX=9031 GN=PSMD3 PE=1 SV=1	PSMD3	Up	1.7188501321041094
A0A8V0YQY8	32	26S proteasome non-ATPase regulatory subunit 2 OS=Gallus gallus OX=9031 GN=PSMD2 PE=1 SV=1	PSMD2	Up	2.1738051898573425
Q9YH14	32	ATP synthase subunit e, mitochondrial OS=Gallus gallus OX=9031 GN=rbf PE=1 SV=1	rbf	Up	2.9195863951537526
Q90694	32	Cell division control protein 42 homolog OS=Gallus gallus OX=9031 GN=CDC42 PE=2 SV=1	CDC42	Down	0.665238608510764
A0A8V1A582	32	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA5 PE=1 SV=1	PSMA5	Up	2.1984678588232325
A0A1D5NYE8	32	Catenin beta-1 OS=Gallus gallus OX=9031 GN=CTNNB1 PE=1 SV=1	CTNNB1	Up	1.6914007890894402
A0A8V0Z3K2	32	Proteasome 26S subunit, ATPase 1 OS=Gallus gallus OX=9031 GN=PSMC1 PE=1 SV=1	PSMC1	Up	2.126912734298747
A0A8V0ZC01	32	Cytochrome c oxidase subunit OS=Gallus gallus OX=9031 GN=COX6A1 PE=1 SV=1	COX6A1	Up	2.865843816518204
F1NIL3	32	ATP synthase subunit OS=Gallus gallus OX=9031 GN=ATP5L PE=1 SV=3	ATP5L	Up	2.538031642687419
A0A8V0Z7C7	32	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Gallus gallus OX=9031 GN=NDUFB6 PE=1 SV=1	NDUFB6	Up	2.2888348271446866
A0A8V0ZVA2	31	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Gallus gallus OX=9031 GN=NDUFB3 PE=1 SV=1	NDUFB3	Up	3.191682627423408
A0A8V0ZNG1	31	Proteasome 26S subunit, non-ATPase 14 OS=Gallus gallus OX=9031 GN=PSMD14 PE=1 SV=1	PSMD14	Up	2.315090231128316
A0A8V0Z382	31	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Gallus gallus OX=9031 GN=NDUFS5 PE=1 SV=1	NDUFS5	Up	2.706170858433248
A0A8V0ZNG4	31	Proteasome subunit alpha 1 OS=Gallus gallus OX=9031 GN=PSMA1 PE=3 SV=1	PSMA1	Up	2.30343010718421
A0A1D5P1U2	31	Pyruvate dehydrogenase E1 component subunit beta OS=Gallus gallus OX=9031 GN=PDHB PE=1 SV=2	PDHB	Up	2.360741878574036
A0A1D5PNG3	31	Eukaryotic translation initiation factor 6 OS=Gallus gallus OX=9031 GN=EIF6 PE=1 SV=1	EIF6	Down	0.3865115262713127
A0A8V0XIX2	30	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=USP14 PE=1 SV=1	USP14	Up	1.9588378878632988
A0A8V0ZY42	30	26S proteasome non-ATPase regulatory subunit 11 OS=Gallus gallus OX=9031 GN=PSMD11 PE=1 SV=1	PSMD11	Up	1.5253089622327758
A0A8V0YC52	30	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Gallus gallus OX=9031 GN=NDUFA2 PE=1 SV=1	NDUFA2	Up	1.779580003716781
R4GGZ2	29	NDUFA4, mitochondrial complex associated OS=Gallus gallus OX=9031 GN=NDUFA4 PE=1 SV=1	NDUFA4	Up	2.9556473303669786
A0A8V0YZ41	28	RNA helicase OS=Gallus gallus OX=9031 GN=EIF4A3 PE=1 SV=1	EIF4A3	Up	1.634120756933663
F1NR71	28	Proteasome 26S subunit, non-ATPase 7 OS=Gallus gallus OX=9031 GN=PSMD7 PE=1 SV=4	PSMD7	Up	2.250826863489189
F1NC02	28	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA4 PE=1 SV=2	PSMA4	Up	1.5283972312878815
A0A8V1AF05	28	26S proteasome non-ATPase regulatory subunit 4 OS=Gallus gallus OX=9031 GN=PSMD4 PE=1 SV=1	PSMD4	Up	3.1619245961338214
A0A8V0XRD5	28	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA6 PE=1 SV=1	PSMA6	Up	1.8565867390981619
A0A8V0YCL9	27	Cytochrome c oxidase subunit 6C OS=Gallus gallus OX=9031 GN=COX6C PE=1 SV=1	COX6C	Up	2.844861400789368
A0A8V1ABH8	27	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=PSMB4 PE=1 SV=1	PSMB4	Up	2.4384609897343115
A0A8V0ZNX9	27	Proteasome subunit beta type-3 OS=Gallus gallus OX=9031 GN=PSMB3 PE=1 SV=1	PSMB3	Up	1.805178159446296
A0A1D5NTY5	27	Transitional endoplasmic reticulum ATPase OS=Gallus gallus OX=9031 GN=LOC430766 PE=1 SV=2	LOC430766	Up	1.656591723661108
A0A8V0ZH96	27	Proteasome 26S subunit, ATPase 3 OS=Gallus gallus OX=9031 GN=PSMC3 PE=1 SV=1	PSMC3	Up	3.821061898621168
A0A8V0YGG7	27	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=UCHL5 PE=1 SV=1	UCHL5	Up	1.7806139039330118
A0A8V0Y9L1	27	Eukaryotic translation initiation factor 3 subunit L OS=Gallus gallus OX=9031 GN=EIF3L PE=1 SV=1	EIF3L	Up	2.300820246596275
R4GLB3	26	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=PSMB2 PE=1 SV=1	PSMB2	Up	1.7607627499285432
A0A8V0Z832	26	Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase OS=Gallus gallus OX=9031 GN=H6PD PE=1 SV=1	H6PD	Down	0.5541660559103759
A0A8V0ZJT8	26	Aspartate aminotransferase OS=Gallus gallus OX=9031 GN=GOT2 PE=1 SV=1	GOT2	Up	1.9306249632547476
A0A8V0YV00	25	Eukaryotic translation initiation factor 4 gamma 1 OS=Gallus gallus OX=9031 GN=EIF4G1 PE=1 SV=1	EIF4G1	Up	1.5108262477160572
A0A8V0XK63	25	Eukaryotic translation initiation factor 4E OS=Gallus gallus OX=9031 GN=EIF4E PE=1 SV=1	EIF4E	Up	1.6263824276195833
A0A1L1RP66	25	Proteasome 26S subunit, ATPase 6 OS=Gallus gallus OX=9031 GN=PSMC6 PE=1 SV=1	PSMC6	Up	2.8208287866286965
A0A8V1A6A3	25	NOP58 ribonucleoprotein OS=Gallus gallus OX=9031 GN=NOP58 PE=1 SV=1	NOP58	Down	0.6560813968307915
A0A8V0ZEY1	25	26S proteasome non-ATPase regulatory subunit 13 OS=Gallus gallus OX=9031 GN=PSMD13 PE=1 SV=1	PSMD13	Up	2.428517731798355
A0A8V0ZRW5	24	Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Gallus gallus OX=9031 GN=IDH3A PE=1 SV=1	IDH3A	Up	4.404301677615186
Q7ZT63	24	Proteasome subunit beta OS=Gallus gallus OX=9031 GN=cpsmb7 PE=1 SV=1	cpsmb7	Up	1.7210032608659225
A0A8V0XI38	24	Intraflagellar transport 88 OS=Gallus gallus OX=9031 GN=IFT88 PE=1 SV=1	IFT88	Down	0.6519951606076732
A0A8V0Y9B0	24	Fumarate hydratase, mitochondrial OS=Gallus gallus OX=9031 GN=FH PE=1 SV=1	FH	Up	1.595895185714519
A0A1L1RQ91	23	Glucose-6-phosphate isomerase OS=Gallus gallus OX=9031 GN=GPI PE=1 SV=2	GPI	Down	0.4808629216376474
A0A8V1A8N2	23	Complement C8 alpha chain OS=Gallus gallus OX=9031 GN=C8A PE=1 SV=1	C8A	Up	2.4857270457657026
A0A8V0Y9E4	23	Acetyl-CoA acyltransferase 2 OS=Gallus gallus OX=9031 GN=ACAA2 PE=1 SV=1	ACAA2	Down	0.5413355554494649
F1NZ86	23	Stress-70 protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPA9 PE=1 SV=1	HSPA9	Up	1.9072049157921007
A0A8V0YRF1	23	Dynein cytoplasmic 1 heavy chain 1 OS=Gallus gallus OX=9031 GN=DYNC1H1 PE=1 SV=1	DYNC1H1	Up	2.2317828870528182
A0A1D5PQV3	22	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Gallus gallus OX=9031 GN=DLST PE=1 SV=2	DLST	Up	2.3563010467052568
A0A8V0YFC7	22	Phosphoglycerate kinase OS=Gallus gallus OX=9031 GN=PGK2 PE=1 SV=1	PGK2	Down	0.541886014984893
Q04619	21	Heat shock cognate protein HSP 90-beta OS=Gallus gallus OX=9031 GN=HSP90AB1 PE=2 SV=1	HSP90AB1	Down	0.2589780874652232
Q5F3B9	21	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Gallus gallus OX=9031 GN=SUCLA2 PE=1 SV=1	SUCLA2	Up	4.896818477633566
A0A8V0ZQ22	21	Eukaryotic translation initiation factor 4B OS=Gallus gallus OX=9031 GN=EIF4B PE=1 SV=1	EIF4B	Down	0.2978719296570912
Q90593	20	Endoplasmic reticulum chaperone BiP OS=Gallus gallus OX=9031 GN=HSPA5 PE=1 SV=1	HSPA5	Down	0.5995568446414024
A0A8V0Y121	20	Lysine--tRNA ligase OS=Gallus gallus OX=9031 GN=CHST4 PE=1 SV=1	CHST4	Up	3.0955369224678404
A0A8V0Y8S2	20	Enoyl-CoA delta isomerase 2 OS=Gallus gallus OX=9031 GN=ECI2 PE=1 SV=1	ECI2	Up	1.890212287223635
A0A8V0XH76	20	acetyl-CoA C-acetyltransferase OS=Gallus gallus OX=9031 GN=ACAT2 PE=1 SV=1	ACAT2	Down	0.3617297116655773
F1NEF6	20	Acyl-CoA dehydrogenase family member 9 OS=Gallus gallus OX=9031 GN=ACAD9 PE=1 SV=3	ACAD9	Up	3.1864276136719467
P14448	20	Fibrinogen alpha chain OS=Gallus gallus OX=9031 GN=FGA PE=1 SV=4	FGA	Up	3.8621082248860312
A0A8V0ZI98	20	ATP synthase subunit f, mitochondrial OS=Gallus gallus OX=9031 GN=ATP5J2 PE=1 SV=1	ATP5J2	Up	2.640391791044776
A0A8V0XIM8	20	3-hydroxyacyl-CoA dehydrogenase OS=Gallus gallus OX=9031 GN=HADH PE=1 SV=1	HADH	Up	1.7969182866761082
A0A8V0ZWG8	20	Intraflagellar transport 81 OS=Gallus gallus OX=9031 GN=IFT81 PE=1 SV=1	IFT81	Down	0.6563206932954708
A0A8V0YCY1	20	Serpin family C member 1 OS=Gallus gallus OX=9031 GN=SERPINC1 PE=1 SV=1	SERPINC1	Up	1.6122506256285518
A0A8V0XV56	20	Apolipoprotein B OS=Gallus gallus OX=9031 GN=APOB PE=1 SV=1	APOB	Up	1.5487907465825446
A0A8V0YDD6	19	Fibronectin OS=Gallus gallus OX=9031 GN=FN1 PE=1 SV=1	FN1	Down	0.6447772986140831
A0A1D5PC23	19	Transaldolase OS=Gallus gallus OX=9031 GN=TALDO1 PE=1 SV=1	TALDO1	Up	5.822960923023372
A0A8V0ZDX0	19	Cytoplasmic dynein 2 light intermediate chain 1 OS=Gallus gallus OX=9031 GN=DYNC2LI1 PE=3 SV=1	DYNC2LI1	Down	0.4744087115873375
A0A1D5PEH3	19	Pyruvate dehydrogenase E1 component subunit alpha OS=Gallus gallus OX=9031 GN=PDHA2 PE=1 SV=1	PDHA2	Up	3.22359559416354
A0A8V0YIZ9	19	Fibrinogen gamma chain OS=Gallus gallus OX=9031 GN=FGG PE=1 SV=1	FGG	Up	3.0021169809578274
A0A1D5PC99	19	Electron transfer flavoprotein subunit alpha OS=Gallus gallus OX=9031 GN=ETFA PE=1 SV=1	ETFA	Up	4.022536056505962
A0A8V0ZF10	19	glutamine--tRNA ligase OS=Gallus gallus OX=9031 GN=QARS PE=1 SV=1	QARS	Up	1.6089809947158682
A0A8V0ZWH3	19	Acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=DLAT PE=1 SV=1	DLAT	Up	2.735134602681624
A0A8V0Y492	19	enoyl-CoA hydratase OS=Gallus gallus OX=9031 GN=HADHA PE=1 SV=1	HADHA	Up	2.106522046571114
A0A1D5PPF8	18	Heat shock 70 kDa protein 4 OS=Gallus gallus OX=9031 GN=HSPA4 PE=1 SV=1	HSPA4	Up	2.1643265688618887
A0A8V1ACY0	18	Eukaryotic translation initiation factor 4H OS=Gallus gallus OX=9031 GN=EIF4H PE=1 SV=1	EIF4H	Down	0.6449203595177637
A0A8V1AH71	18	Orosomucoid 1 (ovoglycoprotein) OS=Gallus gallus OX=9031 GN=ORM1 PE=1 SV=1	ORM1	Down	0.024952885761899458
