query_acc	query_name	query_len	subject_db	subject_acc	subject_name	subject_len	score	pct_identity	evalue	q_start	q_end	s_start	s_end
A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	5589.0	100.0	0.00e+00	1	988	1	988
A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	162.0	25.1	3.39e-13	56	388	1820	2126
A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	GlyGallus	A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	135.0	26.2	4.58e-10	41	347	759	1020
A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	GlyGallus	A0A8V0ZUZ0	A0A8V0ZUZ0_CHICK Suppressor of tumorigenicity 14 protein homolog	828	127.0	27.1	3.88e-09	794	911	308	420
A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	112.0	21.6	2.13e-07	114	759	714	1307
A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	GlyGallus	A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	12885.0	100.0	0.00e+00	1	2392	1	2392
A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	GlyGallus	A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	394.0	21.9	1.03e-39	614	1701	190	1255
A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	GlyGallus	A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	156.0	26.3	4.07e-12	421	608	45	177
A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	GlyGallus	A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	2180.0	100.0	1.45e-247	1	422	1	422
A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	GlyGallus	A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	1496.0	72.7	2.98e-168	35	422	1	388
A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	GlyGallus	P01012	OVAL_CHICK Ovalbumin	386	1203.0	57.2	2.82e-134	35	422	1	386
A0A8V0YMM6	A0A8V0YMM6_CHICK Chordin	1188	GlyGallus	A0A8V0YMM6	A0A8V0YMM6_CHICK Chordin	1188	6507.0	100.0	0.00e+00	1	1188	1	1188
A0A8V0YMM6	A0A8V0YMM6_CHICK Chordin	1188	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	120.0	24.5	3.02e-08	925	1182	513	792
A0A8V0YNU8	A0A8V0YNU8_CHICK Collagen alpha-2(VI) chain	974	GlyGallus	A0A8V0YNU8	A0A8V0YNU8_CHICK Collagen alpha-2(VI) chain	974	5178.0	100.0	0.00e+00	1	974	1	974
A0A8V0YNU8	A0A8V0YNU8_CHICK Collagen alpha-2(VI) chain	974	GlyGallus	A0A8V0XA58	A0A8V0XA58_CHICK Matrix extracellular phosphoglycoprotein	752	96.0	27.7	1.50e-05	367	536	351	533
A0A8V0YPM0	A0A8V0YPM0_CHICK Serine peptidase inhibitor, Kazal type 7 (putative)	241	GlyGallus	A0A8V0YPM0	A0A8V0YPM0_CHICK Serine peptidase inhibitor, Kazal type 7 (putative)	241	1330.0	100.0	3.02e-149	1	241	1	241
A0A8V0YPM0	A0A8V0YPM0_CHICK Serine peptidase inhibitor, Kazal type 7 (putative)	241	GlyGallus	A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	476.0	46.5	3.21e-50	58	241	268	451
A0A8V0YUU0	A0A8V0YUU0_CHICK Acid ceramidase	376	GlyGallus	A0A8V0YUU0	A0A8V0YUU0_CHICK Acid ceramidase	376	2010.0	100.0	6.65e-228	1	376	1	376
A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	GlyGallus	A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	3277.0	100.0	0.00e+00	1	583	1	583
A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	GlyGallus	A0A8V0ZUZ0	A0A8V0ZUZ0_CHICK Suppressor of tumorigenicity 14 protein homolog	828	362.0	36.2	1.29e-36	333	576	580	825
A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	GlyGallus	A0A8V0YDD6	A0A8V0YDD6_CHICK Fibronectin	2392	156.0	26.3	9.92e-13	45	177	421	608
A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	GlyGallus	A0A3Q3ADW5	A0A3Q3ADW5_CHICK EGF like repeats and discoidin domains 3	480	143.0	27.7	3.19e-11	98	243	24	143
A0A8V0YV77	A0A8V0YV77_CHICK HGF activator	583	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	103.0	21.2	1.39e-06	60	214	3854	3958
A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	GlyGallus	A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	2524.0	100.0	1.99e-287	1	451	1	451
A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	GlyGallus	A0A8V0YPM0	A0A8V0YPM0_CHICK Serine peptidase inhibitor, Kazal type 7 (putative)	241	476.0	46.5	6.01e-50	268	451	58	241
A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	97.0	22.8	5.33e-06	199	430	652	863
A0A8V0YW85	A0A8V0YW85_CHICK Serine peptidase inhibitor, Kazal type 5	451	GlyGallus	A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	78.0	21.6	8.51e-04	24	206	814	998
A0A8V0YYJ3	A0A8V0YYJ3_CHICK Lipid-binding serum glycoprotein C-terminal domain-containing protein	469	GlyGallus	A0A8V0YYJ3	A0A8V0YYJ3_CHICK Lipid-binding serum glycoprotein C-terminal domain-containing protein	469	2349.0	100.0	4.07e-267	1	469	1	469
A0A8V0YYJ3	A0A8V0YYJ3_CHICK Lipid-binding serum glycoprotein C-terminal domain-containing protein	469	GlyGallus	A0A1D5PT25	A0A1D5PT25_CHICK Bactericidal permeability-increasing protein	469	207.0	23.0	9.74e-19	14	458	4	461
A0A8V0Z1W6	A0A8V0Z1W6_CHICK Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	728	GlyGallus	A0A8V0Z1W6	A0A8V0Z1W6_CHICK Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	728	3907.0	100.0	0.00e+00	1	728	1	728
A0A8V0Z1W6	A0A8V0Z1W6_CHICK Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	728	GlyGallus	A0A8V0YYS9	A0A8V0YYS9_CHICK procollagen-lysine 5-dioxygenase	756	2428.0	58.3	4.36e-276	3	728	8	756
A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	22323.0	100.0	0.00e+00	1	4167	1	4167
A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	856.0	34.1	4.80e-93	710	1316	1444	2041
A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	GlyGallus	A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	735.0	34.9	5.15e-79	1113	1643	299	799
A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	GlyGallus	A0A8V0ZUZ0	A0A8V0ZUZ0_CHICK Suppressor of tumorigenicity 14 protein homolog	828	290.0	33.8	2.05e-27	199	391	424	575
A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	GlyGallus	A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	237.0	28.0	2.87e-21	3208	3470	48	338
A0A8V0Z5X2	A0A8V0Z5X2_CHICK Prosaposin	541	GlyGallus	A0A8V0Z5X2	A0A8V0Z5X2_CHICK Prosaposin	541	2862.0	100.0	0.00e+00	1	541	1	541
A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	GlyGallus	A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	9526.0	100.0	0.00e+00	1	1864	1	1864
A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	GlyGallus	A0A8V0X4N4	A0A8V0X4N4_CHICK Cyclin-dependent kinase-like 5	982	118.0	21.7	8.09e-08	1109	1368	363	625
A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	GlyGallus	Q98UI9	MUC5B_CHICK Mucin-5B	2108	106.0	20.0	1.99e-06	1592	1762	862	1026
A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	GlyGallus	A0A8V0ZCK4	A0A8V0ZCK4_CHICK TOPBP1 interacting checkpoint and replication regulator	1863	102.0	19.0	5.80e-06	919	1377	1084	1521
A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	98.0	22.6	1.69e-05	1585	1762	428	604
A0A8V0ZA93	A0A8V0ZA93_CHICK hyaluronoglucosaminidase	1359	GlyGallus	A0A8V0ZA93	A0A8V0ZA93_CHICK hyaluronoglucosaminidase	1359	7327.0	100.0	0.00e+00	1	1359	1	1359
A0A8V0ZA93	A0A8V0ZA93_CHICK hyaluronoglucosaminidase	1359	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	119.0	29.7	4.51e-08	320	422	1909	2015
A0A8V0ZGV7	A0A8V0ZGV7_CHICK Polypeptide N-acetylgalactosaminyltransferase	567	GlyGallus	A0A8V0ZGV7	A0A8V0ZGV7_CHICK Polypeptide N-acetylgalactosaminyltransferase	567	3053.0	100.0	0.00e+00	1	567	1	567
A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	19988.0	100.0	0.00e+00	1	3686	1	3686
A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	GlyGallus	A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	1357.0	29.0	3.42e-151	1431	2663	280	1518
A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	856.0	34.1	4.25e-93	1444	2041	710	1316
A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	162.0	25.1	1.26e-12	1820	2126	56	388
A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	124.0	21.3	3.22e-08	435	742	460	832
A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	11902.0	100.0	0.00e+00	1	2139	1	2139
A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	GlyGallus	Q98UI9	MUC5B_CHICK Mucin-5B	2108	3392.0	45.4	0.00e+00	83	1370	38	1310
A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	367.0	28.9	1.24e-36	897	1271	196	569
A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	GlyGallus	A0A8V0ZA93	A0A8V0ZA93_CHICK hyaluronoglucosaminidase	1359	119.0	29.7	7.11e-08	1909	2015	320	422
A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	98.0	22.0	1.94e-05	815	1238	25	409
A0A8V0ZTX8	A0A8V0ZTX8_CHICK Ovostatin	1492	GlyGallus	A0A8V0ZTX8	A0A8V0ZTX8_CHICK Ovostatin	1492	7815.0	100.0	0.00e+00	1	1492	1	1492
A0A8V0ZV19	A0A8V0ZV19_CHICK Sulfatase 2	855	GlyGallus	A0A8V0ZV19	A0A8V0ZV19_CHICK Sulfatase 2	855	4626.0	100.0	0.00e+00	1	855	1	855
A0A8V0ZV62	A0A8V0ZV62_CHICK Sortilin	782	GlyGallus	A0A8V0ZV62	A0A8V0ZV62_CHICK Sortilin	782	4138.0	100.0	0.00e+00	1	782	1	782
A0A8V0ZXF2	A0A8V0ZXF2_CHICK Immunoglobulin lambda-like polypeptide 1	230	GlyGallus	A0A8V0ZXF2	A0A8V0ZXF2_CHICK Immunoglobulin lambda-like polypeptide 1	230	1192.0	100.0	2.90e-133	1	230	1	230
A0A8V0ZXF2	A0A8V0ZXF2_CHICK Immunoglobulin lambda-like polypeptide 1	230	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	95.0	22.5	4.64e-06	26	212	2829	2986
A0A8V0ZXF2	A0A8V0ZXF2_CHICK Immunoglobulin lambda-like polypeptide 1	230	GlyGallus	A0A3Q2TZZ7	A0A3Q2TZZ7_CHICK Receptor-type tyrosine-protein phosphatase F	1904	75.0	25.9	9.67e-04	84	217	87	213
A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	5011.0	100.0	0.00e+00	1	885	1	885
A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	GlyGallus	Q98UI9	MUC5B_CHICK Mucin-5B	2108	1632.0	36.2	1.06e-183	12	870	1236	2103
A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	367.0	28.9	5.14e-37	196	569	897	1271
A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	124.0	21.3	7.74e-09	460	832	435	742
A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	GlyGallus	A0A8V0YMM6	A0A8V0YMM6_CHICK Chordin	1188	120.0	24.5	2.25e-08	513	792	925	1182
A0A8V1A407	A0A8V1A407_CHICK Pleckstrin homology domain containing A6	1108	GlyGallus	A0A8V1A407	A0A8V1A407_CHICK Pleckstrin homology domain containing A6	1108	5780.0	100.0	0.00e+00	1	1108	1	1108
A0A8V1A407	A0A8V1A407_CHICK Pleckstrin homology domain containing A6	1108	GlyGallus	A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	97.0	18.1	1.31e-05	607	952	982	1288
A0A8V1A407	A0A8V1A407_CHICK Pleckstrin homology domain containing A6	1108	GlyGallus	A0A8V1A360	A0A8V1A360_CHICK Rho/Rac guanine nucleotide exchange factor 18	1549	81.0	19.3	9.38e-04	555	931	1169	1532
A0A8V1A6Y9	A0A8V1A6Y9_CHICK Ovotransferrin	697	GlyGallus	A0A8V1A6Y9	A0A8V1A6Y9_CHICK Ovotransferrin	697	3721.0	100.0	0.00e+00	1	697	1	697
A0A8V1AC48	A0A8V1AC48_CHICK Semaphorin 3G	761	GlyGallus	A0A8V1AC48	A0A8V1AC48_CHICK Semaphorin 3G	761	4077.0	100.0	0.00e+00	1	761	1	761
A0A8V1AC48	A0A8V1AC48_CHICK Semaphorin 3G	761	GlyGallus	A0A1D5PZ68	A0A1D5PZ68_CHICK Semaphorin-3C	751	1606.0	46.3	9.45e-181	18	714	21	709
A0A8V1AH71	A0A8V1AH71_CHICK Orosomucoid 1 (ovoglycoprotein)	265	GlyGallus	A0A8V1AH71	A0A8V1AH71_CHICK Orosomucoid 1 (ovoglycoprotein)	265	1411.0	100.0	1.34e-158	1	265	1	265
A0A8V1AHD4	A0A8V1AHD4_CHICK Smoothelin like 2	427	GlyGallus	A0A8V1AHD4	A0A8V1AHD4_CHICK Smoothelin like 2	427	2191.0	100.0	7.76e-249	1	427	1	427
A0A8V1AHD4	A0A8V1AHD4_CHICK Smoothelin like 2	427	GlyGallus	A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	82.0	19.3	2.77e-04	8	301	1031	1297
A0A8V1AIC0	A0A8V1AIC0_CHICK Nuclear prelamin A recognition factor	475	GlyGallus	A0A8V1AIC0	A0A8V1AIC0_CHICK Nuclear prelamin A recognition factor	475	2489.0	100.0	2.40e-283	1	475	1	475
P01012	OVAL_CHICK Ovalbumin	386	GlyGallus	P01012	OVAL_CHICK Ovalbumin	386	1950.0	100.0	6.19e-221	1	386	1	386
P01012	OVAL_CHICK Ovalbumin	386	GlyGallus	A0A8V0Y614	A0A8V0Y614_CHICK Ovalbumin-related protein X (SERPINB14C)	388	1233.0	61.9	8.56e-138	1	386	1	388
P01012	OVAL_CHICK Ovalbumin	386	GlyGallus	A0A8V0YJ25	A0A8V0YJ25_CHICK Ovalbumin-related protein Y (SERPINB14B)	422	1203.0	57.2	2.58e-134	1	386	35	422
P02552	TBA1A_CHICK Tubulin alpha-1A chain	451	GlyGallus	P02552	TBA1A_CHICK Tubulin alpha-1A chain	451	2394.0	100.0	2.37e-272	1	451	1	451
Q98UI9	MUC5B_CHICK Mucin-5B	2108	GlyGallus	Q98UI9	MUC5B_CHICK Mucin-5B	2108	11846.0	100.0	0.00e+00	1	2108	1	2108
Q98UI9	MUC5B_CHICK Mucin-5B	2108	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	3392.0	45.4	0.00e+00	38	1310	83	1370
Q98UI9	MUC5B_CHICK Mucin-5B	2108	GlyGallus	A0A8V1A049	A0A8V1A049_CHICK Mucin-5AC	885	1632.0	36.1	2.53e-183	1236	2103	12	870
Q98UI9	MUC5B_CHICK Mucin-5B	2108	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	107.0	23.4	1.72e-06	775	1271	23	468
Q98UI9	MUC5B_CHICK Mucin-5B	2108	GlyGallus	A0A8V0Z932	A0A8V0Z932_CHICK Vitellogenin 2	1864	106.0	20.0	2.25e-06	862	1026	1592	1762
R4GFJ0	R4GFJ0_CHICK Carboxypeptidase E	469	GlyGallus	R4GFJ0	R4GFJ0_CHICK Carboxypeptidase E	469	2479.0	100.0	3.43e-282	1	469	1	469
V5NUE7	V5NUE7_CHICK Ovocleidin-17	161	GlyGallus	V5NUE7	V5NUE7_CHICK Ovocleidin-17	161	891.0	100.0	1.62e-98	1	161	1	161
A0A8V0XEF3	A0A8V0XEF3_CHICK Tripartite motif containing 13	416	GlyGallus	A0A8V0XEF3	A0A8V0XEF3_CHICK Tripartite motif containing 13	416	2187.0	100.0	2.20e-248	1	416	1	416
A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	GlyGallus	A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	8606.0	100.0	0.00e+00	1	1593	1	1593
A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	GlyGallus	A0A8V0ZKI3	A0A8V0ZKI3_CHICK Laminin subunit alpha-5	3686	1357.0	29.0	1.48e-151	280	1518	1431	2663
A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	GlyGallus	A0A8V0Z3S9	A0A8V0Z3S9_CHICK Basement membrane-specific heparan sulfate proteoglycan core protein	4167	735.0	34.9	1.97e-79	299	799	1113	1643
A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	GlyGallus	A0A8V0YDB7	A0A8V0YDB7_CHICK Signal peptide, CUB domain and EGF like domain containing 1	988	135.0	26.2	7.38e-10	759	1020	41	347
A0A8V0YB27	A0A8V0YB27_CHICK Laminin subunit gamma 1	1593	GlyGallus	A0A8V0ZNE4	A0A8V0ZNE4_CHICK VWFD domain-containing protein	2139	96.0	19.8	2.46e-05	369	982	298	900
A0A8V0YYS9	A0A8V0YYS9_CHICK procollagen-lysine 5-dioxygenase	756	GlyGallus	A0A8V0YYS9	A0A8V0YYS9_CHICK procollagen-lysine 5-dioxygenase	756	4073.0	100.0	0.00e+00	1	756	1	756
